,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,koi_disposition
490,0,0,0,13.2,0.86,0,0.14300000000000002,-0.07,0.12,-0.14300000000000002,CANDIDATE
491,0,0,0,51.8,2.19,0,0.0705,-0.14,0.08,-0.0705,CONFIRMED
492,0,0,0,32.3,2.58,0,0.0947,-0.23,0.36,-0.0947,CANDIDATE
493,0,0,0,161.5,6.39,0,0.0776,-0.58,0.7,-0.0776,CONFIRMED
494,0,0,0,106.2,32.6,0,0.0486,-2.94,3.6,-0.0486,CANDIDATE
495,0,0,0,31.1,1.5,0,0.0542,-0.13,0.08,-0.0542,CONFIRMED
496,0,0,0,99.8,1.79,0,0.0228,-0.05,0.16,-0.0228,CONFIRMED
497,0,0,0,49.4,4.68,0,0.153,-0.32,0.68,-0.153,CANDIDATE
498,0,0,0,33.8,1.72,0,0.0519,-0.07,0.11,-0.0519,CONFIRMED
499,0,0,0,46.9,1.98,0,0.0357,-0.34,0.31,-0.0357,CANDIDATE
500,0,0,0,48.9,1.76,0,0.0381,-0.24,0.27,-0.0381,CONFIRMED
501,0,0,0,32.9,2.96,0,0.0357,-0.41,0.45,-0.0357,CONFIRMED
502,0,1,0,45.3,5.68,0,0.281,-0.84,0.38,-0.281,CONFIRMED
503,0,0,0,23.3,1.38,0,0.0804,-0.12,0.07,-0.0804,CONFIRMED
504,0,0,0,14.3,1.21,0,0.18100000000000002,-0.1,0.06,-0.18100000000000002,CONFIRMED
505,0,0,0,22.1,1.2,0,0.0852,-0.1,0.12,-0.0852,CONFIRMED
506,0,0,0,17.4,1.31,0,0.131,-0.1,0.14,-0.131,CONFIRMED
507,0,0,0,109.3,3.11,0,0.0396,-0.41,0.45,-0.0396,CONFIRMED
508,0,0,0,26.4,2.18,0,0.0765,-0.23,0.66,-0.0765,CONFIRMED
509,0,0,0,15.2,2.03,0,0.094,-0.2,0.63,-0.094,CONFIRMED
510,0,0,0,26.2,2.26,0,0.139,-0.14,0.17,-0.139,CONFIRMED
511,0,0,0,32.1,2.13,0,0.068,-0.13,0.15,-0.068,CONFIRMED
512,0,0,0,40.3,2.11,0,0.051,-0.07,0.14,-0.051,CONFIRMED
513,0,0,0,21.3,2.08,0,0.0939,-0.06,0.14,-0.0939,CONFIRMED
514,0,0,0,27.5,2.63,0,0.125,-0.08,0.18,-0.125,CONFIRMED
515,0,0,0,197.9,7.79,0,0.0644,-0.36,1.13,-0.0644,CANDIDATE
516,0,0,0,34.5,2.68,0,0.163,-0.31,0.39,-0.163,CONFIRMED
517,0,0,0,163.2,8.48,0,0.0643,-0.55,1.27,-0.0643,CANDIDATE
518,1,0,1,32.0,1.88,1,0.0683,-0.26,0.61,-0.0683,FALSE POSITIVE
519,1,0,0,27.4,1.71,0,0.0901,-0.18,0.51,-0.0901,FALSE POSITIVE
520,0,0,0,14.6,1.81,0,0.16899999999999998,-0.14,0.18,-0.16899999999999998,CONFIRMED
521,0,0,0,33.0,3.35,0,0.0859,-0.42,0.51,-0.0859,CONFIRMED
522,0,0,0,28.7,2.88,0,0.0764,-0.36,0.44,-0.0764,CONFIRMED
523,0,0,0,83.1,3.4,0,0.0656,-0.22,0.22,-0.0656,CONFIRMED
524,0,0,0,42.8,3.0,0,0.085,-0.7,0.47,-0.085,CONFIRMED
525,0,0,0,19.6,1.46,0,0.11699999999999999,-0.09,0.11,-0.11699999999999999,CONFIRMED
526,0,0,0,50.7,3.04,0,0.0749,-0.29,0.88,-0.0749,CONFIRMED
527,0,0,0,16.6,1.6,0,0.195,-0.19,0.22,-0.195,CONFIRMED
528,0,0,0,18.0,1.29,0,0.12300000000000001,-0.15,0.18,-0.12300000000000001,CONFIRMED
529,0,0,0,15.0,1.77,0,0.402,-0.2,0.26,-0.402,CONFIRMED
530,0,0,0,23.9,1.18,0,0.0822,-0.07,0.04,-0.0822,CONFIRMED
531,0,0,1,1454.3,34.83,0,0.0059700000000000005,-11.2,6.54,-0.0059700000000000005,FALSE POSITIVE
532,0,0,1,898.4,1177.65,0,0.0135,-115.4,344.9,-0.0135,FALSE POSITIVE
533,1,0,1,272.3,45.05,1,0.0111,-4.98,14.9,-0.0111,FALSE POSITIVE
534,0,0,1,426.0,23.23,0,0.006690000000000001,-1.97,5.86,-0.006690000000000001,FALSE POSITIVE
535,0,0,0,50.6,3.07,0,0.0684,-0.67,0.56,-0.0684,CONFIRMED
536,0,0,0,31.7,4.23,0,0.081,-1.06,0.62,-0.081,CONFIRMED
537,0,0,0,25.8,2.04,0,0.0999,-0.27,0.34,-0.0999,CONFIRMED
538,0,0,0,29.1,3.88,0,0.201,-0.38,1.12,-0.201,CONFIRMED
539,0,0,1,2486.5,14.92,0,0.00118,-1.31,1.08,-0.00118,CONFIRMED
540,0,0,0,53.8,1.55,0,0.0248,-0.13,0.07,-0.0248,CONFIRMED
541,1,0,1,110.3,44.2,0,0.0599,-5.99,6.63,-0.0599,FALSE POSITIVE
542,0,0,0,56.4,2.2,0,0.11,-0.21,0.65,-0.11,CONFIRMED
543,0,0,0,26.8,1.28,0,0.0736,-0.13,0.36,-0.0736,CONFIRMED
544,0,0,0,24.6,1.66,0,0.10400000000000001,-0.16,0.47,-0.10400000000000001,CONFIRMED
545,1,1,0,203.6,269.98,0,0.0361,-149.9,64.25,-0.0361,FALSE POSITIVE
546,0,0,0,77.5,1.29,0,0.0303,-0.07,0.08,-0.0303,CONFIRMED
547,1,0,0,85.2,11.9,0,0.0991,-1.04,3.1,-0.0991,FALSE POSITIVE
548,1,0,1,220.3,38.93,0,0.0235,-7.31,10.98,-0.0235,FALSE POSITIVE
549,0,0,0,36.3,1.9,0,0.0593,-0.28,0.35,-0.0593,CANDIDATE
550,0,0,0,53.8,1.84,0,0.0419,-0.12,0.12,-0.0419,CONFIRMED
551,0,0,1,300.6,58.56,0,0.0225,-6.44,16.17,-0.0225,FALSE POSITIVE
552,0,0,0,31.9,2.25,0,0.0793,-0.45,0.37,-0.0793,CANDIDATE
553,0,0,0,28.1,1.69,0,0.0718,-0.13,0.45,-0.0718,CONFIRMED
554,1,0,1,56.9,1.45,0,0.27899999999999997,-0.14,0.43,-0.27899999999999997,FALSE POSITIVE
555,1,0,0,36.9,1.33,1,0.0698,-0.15,0.37,-0.0698,FALSE POSITIVE
556,1,0,0,37.7,20.57,1,0.076,-4.42,5.89,-0.076,FALSE POSITIVE
557,0,0,0,234.6,7.79,0,0.107,-1.9,1.27,-0.107,CONFIRMED
558,0,0,0,19.0,1.59,0,0.10800000000000001,-0.17,0.49,-0.10800000000000001,CONFIRMED
559,1,0,1,86.7,13.4,1,0.0719,-0.99,0.79,-0.0719,FALSE POSITIVE
560,0,0,1,376.5,44.22,0,0.0153,-4.79,14.41,-0.0153,FALSE POSITIVE
561,0,0,1,257.8,1069.01,0,0.015,-92.14,277.8,-0.015,FALSE POSITIVE
562,0,0,0,343.4,9.01,0,0.0353,-0.7,1.2,-0.0353,CONFIRMED
563,1,0,1,109.7,14.77,1,0.0404,-1.65,4.91,-0.0404,FALSE POSITIVE
564,0,0,0,81.7,7.25,0,0.165,-1.17,1.16,-0.165,CANDIDATE
565,1,0,0,32.9,49.96,0,0.201,-20.71,11.16,-0.201,FALSE POSITIVE
